MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RISK_MM
-2.1,12.9,0,1.2,8.1,31,7,13,92,25,1025.7,1020.9,2,1,1.4,12.3,0.2
-2,11.3,0.2,2.2,5.9,33,2,19,88,50,1020,1015.3,7,7,1.2,10.9,0
-2.3,9.7,0,1.4,1.9,28,6,13,92,66,1013.8,1010,7,7,1,7.8,1.4
-1.6,10.7,1.4,0.8,9.1,59,28,37,74,56,1014.1,1014.9,2,4,5.6,9.6,0
0.8,12.2,0,1.8,8.6,NA,19,22,69,49,1020.9,1016.8,3,1,6.5,11.2,0
-2.8,12.2,0,2.6,8.7,31,0,15,84,48,1018.3,1014.6,1,1,2.7,11.5,0
-2.8,14.1,0,2.2,6.8,48,0,26,81,38,1017.3,1012.9,1,7,3,12.8,1
3,9.7,1,2.6,0.7,65,19,28,64,82,1005.1,1001.3,8,7,9.6,8.6,6.6
4.4,11.5,6.6,2.2,9.3,57,28,31,67,56,1013.9,1014.9,1,1,6.9,10.5,0
2.3,12.8,0,2.2,9.6,35,4,24,70,48,1021.2,1018.1,1,1,7.8,11.6,0
-2,12.3,0,2.4,5.8,31,4,19,81,60,1020.9,1018.3,1,7,2.6,9.1,0
-1.9,10.9,0,1.8,4.2,50,0,26,78,72,1020.8,1019.2,3,8,5.5,7.2,4
4.8,14.1,4,1.6,8.3,48,30,22,67,48,1018.2,1017.6,5,1,8.9,13.6,0
-0.6,11.1,0,3,5,41,7,26,89,78,1018.4,1015.9,7,7,3.8,5.7,1.2
3.1,12.5,1.2,1.4,7.2,43,6,30,69,62,1019.8,1019.1,6,2,7.6,11.3,0
-2.9,9.6,0,1.8,7.3,43,6,24,76,70,1022.4,1019,1,6,5.6,8.1,0.4
-3.5,7.6,0.4,2.4,4.7,50,30,24,92,68,1014.8,1012.6,8,6,3.3,5.1,0.4
-0.3,9.3,0.4,1.4,9.9,39,9,30,72,60,1017.4,1016.6,1,1,4.7,8.3,0
0.1,10.4,0,1.8,7.9,59,22,24,69,63,1021.3,1020.1,1,6,7,8.6,0
2.3,12.2,0,2.8,9.8,44,20,30,58,41,1024.2,1022.4,1,1,6.5,10.4,0
2.1,10.7,0,3.4,9.4,59,28,39,59,45,1022.2,1018.2,1,1,6.2,9.5,0
4.6,14.7,0,4.4,8.4,52,28,33,54,51,1014.7,1012.4,1,3,9.2,12,0
3.7,14.2,0,3,10,46,24,28,52,27,1012.7,1011.8,1,1,8.7,13.5,0
-1.3,11.6,0,4,10.4,30,9,17,59,35,1023.3,1022,0,1,4.5,10.8,0
-3.4,12.5,0,3,6.8,48,7,30,89,30,1025.2,1021.8,6,7,1.4,11.2,0
-5.3,13.1,0,2.2,7.9,33,4,20,94,47,1029.6,1025.6,6,6,0.1,12.2,0
0,14,0,2.4,4.7,39,13,24,60,36,1027.3,1024.4,7,7,7.9,12.4,0
2.4,14.1,0,3,1.8,46,15,30,50,27,1021.4,1017.8,8,8,8.6,13.2,0
-0.6,12.2,0,2.6,7,59,15,26,66,44,1018.5,1016.8,8,5,6.9,10.7,0
2.3,11.6,0,5.4,9.5,54,30,17,49,38,1025.9,1025.5,1,1,6.7,11.1,0
-3.7,14.4,0,2.6,10.4,22,2,11,64,28,1031,1028,0,0,5.2,14,0
-0.9,14.2,0,2.6,7.8,31,7,19,82,34,1030.2,1024.4,7,6,5.3,12.8,0
-1.5,17.3,0,2.8,9,48,0,26,77,23,1023.9,1020.3,5,7,4.8,15.8,0
-3.3,15.1,0,3,NA,30,9,13,57,23,1027.7,1025.5,1,1,7.9,14.4,0
-0.1,14.7,0,3.4,9.9,30,6,15,60,43,1029.9,1025.9,1,5,7.2,12.3,0
-0.2,16.2,0,3.4,5.9,28,0,20,74,45,1027.6,1022.9,7,6,7.3,14.6,0
0.5,16.3,0,1.8,4.1,39,4,6,81,45,1023.7,1017.5,7,8,6.2,15.4,4
6.1,17.2,4,2.2,2.4,59,24,15,89,85,1011.2,1010.4,7,7,13.5,12.6,7.4
4.1,14.8,7.4,2.6,10.8,46,20,28,60,34,1023.2,1021.7,1,1,8.8,14.3,0
0.1,16.7,0,3.8,10.2,28,2,13,69,44,1027,1024.8,1,4,9,14.9,0
3.2,12.1,0,2.8,3.9,41,17,20,69,51,1033.6,1033.2,7,5,9.3,11.1,0.2
5.4,11.3,0.2,2.2,0.6,35,11,17,65,61,1035.7,1031.9,7,7,8.3,10.2,0
5.8,12.4,0,1.6,0,26,13,13,79,73,1027.3,1023.5,8,8,8.7,10.8,0
6.3,16.1,0,1.8,2.9,35,19,24,63,33,1019.7,1016.2,7,7,10,15.7,0
-0.9,16.7,0,2.8,8.6,35,7,22,84,33,1018.1,1013.9,7,7,6.4,15.5,1
0.2,15.5,1,2.4,9.4,31,0,11,79,37,1020.6,1018.2,1,1,7.2,15.3,0
-3.7,14.7,0,3.4,10.9,43,9,22,53,25,1025.8,1020.9,0,0,5.5,13.4,0
-2.7,15.2,0,4,9.7,30,6,20,62,35,1022.8,1017.9,1,2,6.3,14.9,0
-2.5,16.6,0,3,9.9,31,4,20,68,20,1018.8,1013.9,1,1,6,16.3,0
-0.5,21.6,0,5,9.9,48,9,26,44,27,1014.6,1010.9,7,5,11.9,21.5,0
9,25.5,0,5.6,10.2,50,20,26,47,31,1015.3,1011.4,3,1,17.5,25.1,9.8
13.1,19.4,9.8,8.8,6,67,39,30,71,43,1007.3,1006,7,1,16.7,18.2,1.6
8.7,19.7,1.6,5.2,8,98,31,52,63,33,1009.1,1001.5,3,6,15.6,18.5,3.4
3.9,13.2,3.4,6.6,11,65,26,31,53,33,1017,1017.6,3,1,7.1,12.2,0
0.7,14.1,0,5.6,9,20,6,7,69,43,1026.7,1022.1,7,1,7.4,13.7,0
1.1,18,0,1.6,8.6,39,2,28,82,36,1021,1015.6,4,1,7,17.8,0
5.1,23.3,0,3.6,10.3,44,9,28,54,30,1016.4,1011.7,1,1,16.4,22.4,0
7.5,23.3,0,6.8,10.9,65,15,41,46,15,1012.5,1010.9,1,0,18.3,21.3,0
4.7,19.5,0,10,11,46,13,33,42,25,1018.7,1015.1,1,0,14.5,18.3,0
3.2,21.9,0,6.8,5.2,80,2,20,51,50,1012.1,1006.5,1,8,15.9,21,17.4
7.8,16.2,17.4,6.4,7.9,50,15,22,73,44,1016.7,1017.8,7,1,8,14.3,0
2.4,17.3,0,2.2,11.3,31,4,6,67,33,1030.5,1027.7,1,1,10.7,16.5,0
3.2,18.7,0,2.6,11.1,31,4,13,70,32,1032.2,1026.9,1,1,11,18.1,0
2.5,20.9,0,3.6,10.6,44,20,26,48,35,1025.4,1020.6,2,6,15.4,20,0
6.5,25.7,0,4.8,10.5,50,2,24,62,25,1022.8,1016.4,5,1,15.9,24.7,0
14.4,24.3,0,9.4,11.1,52,31,30,36,25,1010.5,1009.9,1,1,20.4,23,0
4.9,18.9,0,9.6,9.4,44,6,22,41,32,1015.2,1013.9,2,7,14.9,16,0
2.3,16.8,0,4.8,11.4,41,6,28,52,34,1019.8,1017,2,1,9.8,16.3,0
1.4,20.6,0,5.4,11.1,46,6,30,56,16,1020.8,1015.4,5,1,11.3,19.5,0
5.6,27.6,0,5.2,11,46,15,28,44,21,1017.7,1014.1,0,0,19,26.7,0
16.8,28.9,0,10,10.8,70,31,41,44,22,1016.3,1011.8,1,1,22.5,28.4,7.6
14.4,20.7,7.6,9.4,4.9,33,20,19,94,65,1015.5,1013.2,8,4,14.5,19.3,3
10.3,21.3,3,4.2,6.7,43,7,19,79,46,1018.1,1013.6,8,1,11.7,19.8,0
11.2,18,0,4.8,8.4,65,24,33,65,40,1009.5,1005.3,5,4,12.8,16.2,8.2
0.3,16,8.2,5.4,11.8,57,11,28,68,45,1016.8,1013.3,1,1,6.9,14.6,0
0.5,17.9,0,5.8,11.5,44,2,26,72,33,1019.1,1017.5,0,1,7.2,16.6,0
0.5,20,0,6.2,11.5,31,2,9,69,22,1026.2,1024.2,0,1,8.1,18.8,0
4.6,22,0,4.4,11,41,6,19,82,25,1028.8,1024.9,1,2,10,21.4,0
8.2,22.4,0,5.4,11.2,31,2,17,70,30,1027.8,1023.8,1,3,13.6,20.6,0
4.5,23.9,0,4.8,11.7,30,4,11,67,27,1025.8,1021.5,0,4,12.6,22.3,0
6.7,26.1,0,6.2,7.5,70,6,33,56,47,1020.9,1016,4,7,16.3,23.2,13.2
11.9,21.1,13.2,6.6,NA,41,7,24,82,61,1019.2,1016.7,7,3,14.5,19.4,0.6
9.2,19.6,0.6,3.4,10.4,31,4,7,71,42,1022.3,1019.7,7,4,11.6,18.4,0
4.4,21,0,4.2,12.2,28,2,9,73,30,1025.7,1022.3,1,1,9.6,19.2,0
5,24.1,0,6.2,12,52,0,26,73,34,1024.5,1020.7,6,1,11.6,21.9,0
6.7,24.7,0,5.4,8.6,43,4,20,80,31,1025.7,1022.2,1,7,12.7,23.7,0
8.3,28.5,0,5.8,9.8,46,2,26,66,30,1024.1,1019.8,1,6,16.8,27.4,0.2
11.3,27.4,0.2,7.6,12.1,52,6,31,60,20,1021.4,1017.5,1,1,16.4,26.3,0
9,20.6,0,9,6.2,39,11,11,54,28,1022.3,1018.6,7,5,11.4,18.5,0.8
3.4,15,0.8,4.8,11.7,70,35,37,43,24,1023.4,1023.1,1,5,8.3,14.3,0
3.2,18,0,7.4,12.2,48,26,15,47,25,1026.6,1022.8,1,2,9.1,16.3,0
0.9,20.7,0,5.4,8.4,39,2,17,71,29,1023.2,1018.4,3,8,9.4,19.1,0
3.3,25.5,0,5.2,10.8,43,4,19,57,16,1018.8,1014.6,0,3,12,24.8,0
7.9,26.1,0,6.8,3.5,43,0,19,45,20,1017.6,1014.2,5,8,16.3,25.9,0
9,30.7,0,7.6,12.1,76,7,50,38,15,1016.1,1010.8,1,3,20.4,30,0
7.1,28.4,0,11.6,12.7,48,2,19,45,22,1020,1016.9,0,1,17.2,28.2,0
12.5,19.9,0,8.4,5.3,43,11,9,63,47,1024,1022.8,3,2,14.5,18.3,0
12.5,26.9,0,5,7.1,46,6,28,69,39,1021,1016.2,6,7,15.8,25.9,0
12.3,30.2,0,6,12.6,78,31,35,43,13,1009.6,1009.2,1,1,23.8,28.6,0
